sym,action,amt,cuid0,cuid1,actor,source,destination,note,tuid,external_id,timestamp,ref_tuid
USD,pay,5.37,X9ijLibP5ssXzxqY,Ol56R0sqQy1mkGnd,X9ijLibP5ssXzxqY,wX9ijLib5ssXzxqY,wpLqj6bQdtp1vwiZ,Junt,ZXFK-Q5I8,a48b2808-4cfdff3c0,1498873971937,
USD,transfer,98,sosCa0fgT7SReEVx,,sosCa0fgT7SReEVx,wpSvsFEqxEP3SQTm,wbFXOpTBa7BN2JVL,,9LR8-LSD4,,1498874012412,
USD,card_auth,0,Ie5PhAUrIocvTbmn,,Ie5PhAUrIocvTbmn,wtLqXRFOv0OGJY5F,,PP* EBAY  733   CAUS,H5ZC-T1IH,V.56,1498874037579,
USD,card_auth,99.1,Ie5PhAUrIocvTbmn,,Ie5PhAUrIocvTbmn,wtLqXRFOv0OGJY5F,,PAYPAL *28733   CAUS,FCXQ-DFNZ,V.57,1498874040254,
USD,card_pending,99.1,Ie5PhAUrIocvTbmn,,Ie5PhAUrIocvTbmn,wtLqXRFOv0OGJY5F,,PAYP4801,FCXQ-DFNZ,V.57,1498874046278,
USD,card_auth,79,Ie5PhAUrIocvTbmn,,Ie5PhAUrIocvTbmn,wtLqXRFOv0OGJY5F,,PAYPAL *ZH733   CAUS,TXRU-I83A,V.65,1498874058823,
USD,override_muid,0,sbH4ueXvttiRz7A1,,sbH4ueXvttiRz7A1,wnS3yH48qyY8ruus,,,3IUN-Z5ES,mLHTXR5TR1jkeL52,1498874060277,
USD,card_pending,79,Ie5PhAUrIocvTbmn,,Ie5PhAUrIocvTbmn,wtLqXRFOv0OGJY5F,,PAYPAMEI,TXRU-I83A,V.65,1498874061891,
USD,override_muid,0,sbH4ueXvttiRz7A1,,sbH4ueXvttiRz7A1,wnS3yH48qyY8ruus,,,2F74-Q6XJ,mJHdbyjxBqK5Krlt,1498874122895,
USD,cancel,0,75pat5S4WASEp7QN,NOWjeaUkiZvyljWn,75pat5S4WASEp7QN,w75pat5SWASEp7QN,wNOWjeaUiZvyljWn,,Y5GA-4N1N,,1498874136062,
USD,complete,0,XUJbDJe3wDiaFNMJ,,XUJbDJe3wDiaFNMJ,wFRBL3f7YMjUabRB,wFRBL3f7YMjUabRB,,QT2C-XUGA,,1498874152077,
USD,card_auth,6.48,eWnjFVXnXVnYqlEA,,eWnjFVXnXVnYqlEA,wSxCPgZ9MmeZT4Dh,,SQ *EARL Rint   CAUS,EYKU-LHH5,V.66,1498874562521,
USD,card_pending,6.48,eWnjFVXnXVnYqlEA,,eWnjFVXnXVnYqlEA,wSxCPgZ9MmeZT4Dh,,SQ *EWELRY,EYKU-LHH5,V.66,1498874567971,
USD,card_auth,34.9,C0a27e8YZHL6lJjf,,C0a27e8YZHL6lJjf,wQuPhrzpgJZ56IyI,,TARGET T- field   MO,SOI4-QUSS,D.77,1498874671887,
USD,init_deposit,50,u5iAc4GTjHS1i3Rf,,u5iAc4GTjHS1i3Rf,,wu5iAc4GjHS1i3Rf,Mallores,IORA-EQCZ,9a87a6ab-4cfdff3c0,1498874674393,
USD,card_pending,34.9,C0a27e8YZHL6lJjf,,C0a27e8YZHL6lJjf,wQuPhrzpgJZ56IyI,,TARGETown an,SOI4-QUSS,D.77,1498874678388,
